"blocks","Sch","EID","cohort_yr","treatment","Grade","Yrs","Race_White","Gend_Fem","Free_Lunch","Y","Eligible"
"A","A0","C1A106",11,0,0,1,1,0,1,135.650592925969,0
"A","A0","C1A106",12,0,1,2,1,0,1,148.735482087253,0
"A","A0","C1A106",13,0,2,3,1,0,1,150.18152339016,0
"A","A0","C1A106",14,0,3,4,1,0,1,193.102796403698,0
"A","A0","C1A170",11,0,0,1,1,0,0,135.863044431763,0
"A","A0","C1A170",12,0,1,2,1,0,0,144.063742717054,0
"A","A0","C1A170",13,0,2,3,1,0,0,148.123004030334,0
"A","A0","C1A170",14,0,3,4,1,0,0,171.924177532244,0
"A","A0","C1A196",11,0,0,1,1,0,1,114.542307956558,0
"A","A0","C1A196",12,0,1,2,1,0,1,113.735100125519,0
"A","A0","C1A196",13,0,2,3,1,0,1,181.157830474506,0
"A","A0","C1A196",14,0,3,4,1,0,1,130.852234077919,1
"A","A0","C1A201",11,0,0,1,1,0,0,125.254014673258,0
"A","A0","C1A201",12,0,1,2,1,0,0,105.641790894452,0
"A","A0","C1A201",13,0,2,3,1,0,0,136.280733963943,0
"A","A0","C1A201",14,0,3,4,1,0,0,182.116054484357,0
"A","A0","C1A202",11,0,0,1,1,1,0,39.6253180653405,1
"A","A0","C1A202",12,0,1,2,1,1,0,115.858535483198,1
"A","A0","C1A202",13,0,2,3,1,1,0,107.094413846406,1
"A","A0","C1A202",14,0,3,4,1,1,0,141.378401667491,1
"A","A0","C1A227",11,0,0,1,1,0,1,82.7078681650175,1
"A","A0","C1A227",12,0,1,2,1,0,1,96.7102188876765,1
"A","A0","C1A227",13,0,2,3,1,0,1,124.503206178234,1
"A","A0","C1A227",14,0,3,4,1,0,1,171.064038371041,1
"A","A0","C1A252",11,0,0,1,1,1,0,112.262272080856,0
"A","A0","C1A252",12,0,1,2,1,1,0,105.003816627767,0
"A","A0","C1A252",13,0,2,3,1,1,0,134.201421832853,0
"A","A0","C1A252",14,0,3,4,1,1,0,148.191777753298,0
"A","A0","C1A27",11,0,0,1,0,1,1,49.1849624105867,1
"A","A0","C1A27",12,0,1,2,0,1,1,92.9867687386908,1
"A","A0","C1A27",13,0,2,3,0,1,1,152.115196639858,1
"A","A0","C1A27",14,0,3,4,0,1,1,170.650802037678,1
"A","A0","C1A291",11,0,0,1,0,1,0,92.534128401136,1
"A","A0","C1A291",12,0,1,2,0,1,0,111.678675184603,1
"A","A0","C1A291",13,0,2,3,0,1,0,136.699027284691,1
"A","A0","C1A291",14,0,3,4,0,1,0,179.690908503037,1
"A","A0","C1A294",11,0,0,1,0,1,0,116.739419660012,0
"A","A0","C1A294",12,0,1,2,0,1,0,112.578095559141,0
"A","A0","C1A294",13,0,2,3,0,1,0,144.16415785426,0
"A","A0","C1A294",14,0,3,4,0,1,0,178.450813559607,0
"A","A0","C1A327",11,0,0,1,0,1,0,93.7945998682736,1
"A","A0","C1A327",12,0,1,2,0,1,0,124.166978667674,1
"A","A0","C1A327",13,0,2,3,0,1,0,94.3085719200427,1
"A","A0","C1A327",14,0,3,4,0,1,0,139.452672911904,1
"A","A0","C1A340",11,0,0,1,1,1,0,71.1268761485596,1
"A","A0","C1A340",12,0,1,2,1,1,0,110.263054073086,1
"A","A0","C1A340",13,0,2,3,1,1,0,135.956628056517,1
"A","A0","C1A340",14,0,3,4,1,1,0,157.970961855851,1
"A","A0","C1A4",11,0,0,1,0,0,1,78.4760099564474,1
"A","A0","C1A4",12,0,1,2,0,0,1,102.843201553,1
"A","A0","C1A4",13,0,2,3,0,0,1,144.670923914879,1
"A","A0","C1A4",14,0,3,4,0,0,1,97.0312564930877,1
"A","A0","C1A455",11,0,0,1,0,1,0,148.301939085319,0
"A","A0","C1A455",12,0,1,2,0,1,0,97.6461308758091,1
"A","A0","C1A455",13,0,2,3,0,1,0,125.315003976529,1
"A","A0","C1A455",14,0,3,4,0,1,0,233.519316620186,1
"A","A0","C1A460",11,0,0,1,1,0,0,118.871896214425,0
"A","A0","C1A460",12,0,1,2,1,0,0,119.300886976069,0
"A","A0","C1A460",13,0,2,3,1,0,0,123.850724570326,0
"A","A0","C1A460",14,0,3,4,1,0,0,174.413154331112,0
"A","A0","C1A545",11,0,0,1,1,0,1,76.475901874208,1
"A","A0","C1A545",12,0,1,2,1,0,1,115.654704154772,1
"A","A0","C1A545",13,0,2,3,1,0,1,134.926707771686,1
"A","A0","C1A545",14,0,3,4,1,0,1,161.749715688286,1
"A","A0","C1A555",11,0,0,1,1,0,0,124.706749599143,0
"A","A0","C1A555",12,0,1,2,1,0,0,92.7368183362388,1
"A","A0","C1A555",13,0,2,3,1,0,0,122.270963125678,1
"A","A0","C1A555",14,0,3,4,1,0,0,144.41567244583,1
"A","A0","C1A594",11,0,0,1,0,1,0,91.0842827688511,1
"A","A0","C1A594",12,0,1,2,0,1,0,101.859557118779,1
"A","A0","C1A594",13,0,2,3,0,1,0,150.972116377909,1
"A","A0","C1A594",14,0,3,4,0,1,0,114.421774722518,1
"A","A0","C1A602",11,0,0,1,1,0,0,71.020040862181,1
"A","A0","C1A602",12,0,1,2,1,0,0,114.825420526501,1
"A","A0","C1A602",13,0,2,3,1,0,0,174.451591412825,1
"A","A0","C1A602",14,0,3,4,1,0,0,127.350536543437,1
"A","A0","C1A621",11,0,0,1,1,1,1,87.511129620803,1
"A","A0","C1A621",12,0,1,2,1,1,1,138.339879817085,1
"A","A0","C1A621",13,0,2,3,1,1,1,117.189422102233,1
"A","A0","C1A621",14,0,3,4,1,1,1,173.486811495584,1
"A","A0","C1A636",11,0,0,1,1,0,0,112.428086812742,0
"A","A0","C1A636",12,0,1,2,1,0,0,86.4485950755669,1
"A","A0","C1A636",13,0,2,3,1,0,0,166.675966069066,1
"A","A0","C1A636",14,0,3,4,1,0,0,168.77331426068,1
"A","A0","C1A643",11,0,0,1,1,0,0,114.276435484805,0
"A","A0","C1A643",12,0,1,2,1,0,0,110.960976629304,0
"A","A0","C1A643",13,0,2,3,1,0,0,144.563287734744,0
"A","A0","C1A643",14,0,3,4,1,0,0,118.642108941783,1
"A","A0","C1A647",11,0,0,1,1,1,0,124.130498627293,0
"A","A0","C1A647",12,0,1,2,1,1,0,138.360164809354,0
"A","A0","C1A647",13,0,2,3,1,1,0,140.282800142711,0
"A","A0","C1A647",14,0,3,4,1,1,0,175.65801264599,0
"A","A0","C1A651",11,0,0,1,0,1,1,76.3840235059328,1
"A","A0","C1A651",12,0,1,2,0,1,1,116.17213749275,1
"A","A0","C1A651",13,0,2,3,0,1,1,124.633873605981,1
"A","A0","C1A651",14,0,3,4,0,1,1,151.290524658307,1
"A","A0","C1A661",11,0,0,1,1,1,1,98.1815782109804,0
"A","A0","C1A661",12,0,1,2,1,1,1,159.907536527935,0
"A","A0","C1A661",13,0,2,3,1,1,1,178.108542486876,0
"A","A0","C1A661",14,0,3,4,1,1,1,166.87237793191,0
"A","A0","C1A696",11,0,0,1,1,0,0,133.646091258369,0
"A","A0","C1A696",12,0,1,2,1,0,0,134.579915030044,0
"A","A0","C1A696",13,0,2,3,1,0,0,125.138788048003,0
